,Author,Book
"I've lived through some terrible things in my life, some of which actually happened. ― mark twain", mark twain,no book found
"I am too intelligent, too demanding, and too resourceful for anyone to be able to take charge of me entirely. no one knows me or loves me completely. i have only myself ― simone de beauvoir", simone de beauvoir,no book found
"The scar had not pained harry for nineteen years. all was well. ― j.k. rowling, harry potter and the deathly hallows"," j.k. rowling, harry potter and the deathly hallows", harry potter and the deathly hallows
"There is a crack in everything. that's how the light gets in. ― leonard cohen, selected poems, 1956-1968"," leonard cohen, selected poems, 1956-1968", selected poems
"Very few of us are what we seem. ― agatha christie, the man in the mist"," agatha christie, the man in the mist", the man in the mist
The most effective way to destroy people is to deny and obliterate their own understanding of their history. ― george orwell, george orwell,no book found
"My nightmares are usually about losing you. i'm okay once i realize you're here. ― suzanne collins, catching fire"," suzanne collins, catching fire", catching fire
"I cannot remember the books i've read any more than the meals i have eaten; even so, they have made me. ― ralph waldo emerson", ralph waldo emerson,no book found
"I am not sure exactly what heaven will be like, but i know that when we die and it comes time for god to judge us, he will not ask, 'how many good things have you done in your life?' rather he will ask, 'how much love did you put into what you did? ― mother teresa", mother teresa,no book found
No medicine cures what happiness cannot. ― gabriel garcía márquez, gabriel garcía márquez,no book found
"Love conquers all,"" aphrodite promised. ""look at helen and paris. did they let anything come between them?"" ""didn't they start the trojan war and get thousands of people killed?"" ""pfft. that's not the point. follow your heart. ― rick riordan, the titan’s curse"," rick riordan, the titan’s curse", the titan’s curse
"The most important things are the hardest to say. they are the things you get ashamed of, because words diminish them -- words shrink things that seemed limitless when they were in your head to no more than living size when they're brought out. but it's more than that, isn't it? the most important things lie too close to wherever your secret heart is buried, like landmarks to a treasure your enemies would love to steal away. and you may make revelations that cost you dearly only to have people look at you in a funny way, not understanding what you've said at all, or why you thought it was so important that you almost cried while you were saying it. that's the worst, i think. when the secret stays locked within not for want of a teller but for want of an understanding ear. ― stephen king", stephen king,no book found
"What is an ""instant"" death anyway? how long is an instant? is it one second? ten? the pain of those seconds must have been awful as her heart burst and her lungs collapsed and there was no air and no blood to her brain and only raw panic. what the hell is instant? nothing is instant. instant rice takes five minutes, instant pudding an hour. i doubt that an instant of blinding pain feels particularly instantaneous. ― john green, looking for alaska"," john green, looking for alaska", looking for alaska
"We’re all seeking that special person who is right for us. but if you’ve been through enough relationships, you begin to suspect there’s no right person, just different flavors of wrong. why is this? because you yourself are wrong in some way, and you seek out partners who are wrong in some complementary way. but it takes a lot of living to grow fully into your own wrongness. and it isn’t until you finally run up against your deepest demons, your unsolvable problems—the ones that make you truly who you are—that we’re ready to find a lifelong mate. only then do you finally know what you’re looking for. you’re looking for the wrong person. but not just any wrong person: it's got to be the right wrong person—someone you lovingly gaze upon and think, this is the problem i want to have. i will find that special person who is wrong for me in just the right way. ― andrew  boyd, daily afflictions: the agony of being connected to everything in the universe"," andrew  boyd, daily afflictions: the agony of being connected to everything in the universe", daily afflictions: the agony of being connected to everything in the universe
What you seek is seeking you. ― mawlana jalal-al-din rumi, mawlana jalal-al-din rumi,no book found
"Fire is catching! and if we burn, you burn with us! ― suzanne collins, mockingjay"," suzanne collins, mockingjay", mockingjay
"And perhaps it is the greater grief, after all, to be left on earth when another is gone. ― madeline miller, the song of achilles"," madeline miller, the song of achilles", the song of achilles
"The road to hell is paved with adverbs. ― stephen king, on writing: a memoir of the craft"," stephen king, on writing: a memoir of the craft", on writing: a memoir of the craft
"I will not say: do not weep; for not all tears are an evil. ― j.r.r. tolkien, the return of the king"," j.r.r. tolkien, the return of the king", the return of the king
"People generally see what they look for, and hear what they listen for. ― harper lee, to kill a mockingbird"," harper lee, to kill a mockingbird", to kill a mockingbird
I was never really insane except upon occasions when my heart was touched. ― edgar allan poe, edgar allan poe,no book found
"Let there be spaces in your togetherness, and let the winds of the heavens dance between you. love one another but make not a bond of love: let it rather be a moving sea between the shores of your souls. fill each other's cup but drink not from one cup. give one another of your bread but eat not from the same loaf. sing and dance together and be joyous, but let each one of you be alone, even as the strings of a lute are alone though they quiver with the same music. give your hearts, but not into each other's keeping. for only the hand of life can contain your hearts. and stand together, yet not too near together: for the pillars of the temple stand apart, and the oak tree and the cypress grow not in each other's shadow. ― khalil gibran, the prophet"," khalil gibran, the prophet", the prophet
"Death must be so beautiful. to lie in the soft brown earth, with the grasses waving above one's head, and listen to silence. to have no yesterday, and no tomorrow. to forget time, to forgive life, to be at peace. ― oscar wilde, the canterville ghost"," oscar wilde, the canterville ghost", the canterville ghost
"Will looked horrified. ""what kind of monster could possibly hate chocolate? ― cassandra clare, clockwork angel"," cassandra clare, clockwork angel", clockwork angel
"To define is to limit. ― oscar wilde, the picture of dorian gray"," oscar wilde, the picture of dorian gray", the picture of dorian gray
"The town was paper, but the memories were not. ― john green, paper towns"," john green, paper towns", paper towns
"Love is a fire. but whether it is going to warm your hearth or burn down your house, you can never tell. ― joan crawford", joan crawford,no book found
"Life should not be a journey to the grave with the intention of arriving safely in a pretty and well preserved body, but rather to skid in broadside in a cloud of smoke, thoroughly used up, totally worn out, and loudly proclaiming ""wow! what a ride! ― hunter s. thompson, the proud highway: saga of a desperate southern gentleman, 1955-1967"," hunter s. thompson, the proud highway: saga of a desperate southern gentleman, 1955-1967", the proud highway: saga of a desperate southern gentleman
Sometimes people don't want to hear the truth because they don't want their illusions destroyed. ― friedrich nietzsche, friedrich nietzsche,no book found
Freedom is not worth having if it does not include the freedom to make mistakes. ― mahatma gandhi, mahatma gandhi,no book found
"Fear doesn't shut you down; it wakes you up ― veronica roth, divergent"," veronica roth, divergent", divergent
"Because nerds like us are allowed to be unironically enthusiastic about stuff. nerds are allowed to love stuff, like jump-up-and-down-in-the-chair-can’t-control-yourself love it. hank, when people call people nerds, mostly what they’re saying is ‘you like stuff.’ which is just not a good insult at all. like, ‘you are too enthusiastic about the miracle of human consciousness’. ― john green", john green,no book found
"Be patient toward all that is unsolved in your heart and try to love the questions themselves, like locked rooms and like books that are now written in a very foreign tongue. do not now seek the answers, which cannot be given you because you would not be able to live them. and the point is, to live everything. live the questions now. perhaps you will then gradually, without noticing it, live along some distant day into the answer. ― rainer maria rilke", rainer maria rilke,no book found
"The worst part of holding the memories is not the pain. it's the loneliness of it. memories need to be shared. ― lois lowry, the giver"," lois lowry, the giver", the giver
"You haven't got a letter on yours,"" george observed. ""i suppose she thinks you don't forget your name. but we're not stupid-we know we're called gred and forge. ― j.k. rowling, harry potter and the sorcerer's stone"," j.k. rowling, harry potter and the sorcerer's stone", harry potter and the sorcerer's stone
"If you look for perfection, you'll never be content. ― leo tolstoy, anna karenina"," leo tolstoy, anna karenina", anna karenina
"Life before death. strength before weakness. journey before destination. ― brandon sanderson, the way of kings"," brandon sanderson, the way of kings", the way of kings
"Life is really simple, but we insist on making it complicated. ― confucius", confucius,no book found
"When i'm good, i'm very good, but when i'm bad, i'm better.  ― mae west", mae west,no book found
Poetry is what gets lost in translation. ― robert frost, robert frost,no book found
"If i am not good to myself, how can i expect anyone else to be good to me? ― maya angelou", maya angelou,no book found
"I am not an angel,' i asserted; 'and i will not be one till i die: i will be myself. mr. rochester, you must neither expect nor exact anything celestial of me - for you will not get it, any more than i shall get it of you: which i do not at all anticipate. ― charlotte brontë, jane eyre"," charlotte brontë, jane eyre", jane eyre
"Learn the rules, break the rules, make up new rules, break the new rules. ― marvin bell", marvin bell,no book found
"Stop fighting me!"" he said, trying to pull on the arm he held. he was in a precarious position himself, straddling the rail as he tried to lean over far enough to get me and actually hold onto me. let go of me! i yelled back. but he was too strong and managed to haul most of me over the rail, enough so that i wasn’t in total danger of falling again. see, here’s the thing. in that moment before i let go, i really had been contemplating my death. i’d come to terms with it and accepted it. i also, however, had known dimitri might do something exactly like this. he was just that fast and that good. that was why i was holding my stake in the hand that was dangling free. i looked him in the eye. ""i will always love you."" then i plunged the stake into his chest. it wasn’t as precise a blow as i would have liked, not with the skilled way he was dodging. i struggled to get the stake in deep enough to his heart, unsure if i could do it from this angle. then, his struggles stopped. his eyes stared at me, stunned, and his lips parted, almost into a smile, albeit a grisly and pained one. ""that’s what i was supposed to say. . . he gasped out. those were his last words. ― richelle mead, blood promise"," richelle mead, blood promise", blood promise
I'm afraid that sometimes you'll play lonely games too. games you can't win 'cause you'll play against you. ― dr. seuss, dr. seuss,no book found
"What's up?"" i asked. you tell me,"" he said. ""you were the one about ready to start making out with adrian."" it was an experiment,"" i said. ""it was part of my therapy."" what the hell kind of therapy are you in? ― richelle mead, shadow kiss"," richelle mead, shadow kiss", shadow kiss
"We do not remember days, we remember moments. ― jennifer niven, all the bright places"," jennifer niven, all the bright places", all the bright places
"History does not always repeat itself. sometimes it just yells, 'can't you remember anything i told you?' and lets fly with a club. ― john w. campbell jr.", john w. campbell jr.,no book found
"Oh, we're playing nice now? shall we have tea first? brew up a nice pot of kiss-my-ass? ― julie kagawa, the iron king"," julie kagawa, the iron king", the iron king
"True friends are always together in spirit. ― l.m. montgomery, anne of green gables"," l.m. montgomery, anne of green gables", anne of green gables
"To lose balance sometimes for love is part of living a balanced life. ― elizabeth gilbert, eat, pray, love: one woman's search for everything"," elizabeth gilbert, eat, pray, love: one woman's search for everything", eat
"Morality is simply the attitude we adopt towards people we personally dislike. ― oscar wilde, an ideal husband"," oscar wilde, an ideal husband", an ideal husband
"Life has no remote....get up and change it yourself! ― mark a. cooper, operation einstein"," mark a. cooper, operation einstein", operation einstein
"I am broken and healing, but every piece of my heart belong to you. ― sarah j. maas, a court of mist and fury"," sarah j. maas, a court of mist and fury", a court of mist and fury
"Passion makes a person stop eating, sleeping, working, feeling at peace. a lot of people are frightened because, when it appears, it demolishes all the old things it finds in its path. no one wants their life thrown into chaos. that is why a lot of people keep that threat under control, and are somehow capable of sustaining a house or a structure that is already rotten. they are the engineers of the superseded. other people think exactly the opposite: they surrender themselves without a second thought, hoping to find in passion the solutions to all their problems. they make the other person responsible for their happiness and blame them for their possible unhappiness. they are either euphoric because something marvelous has happened or depressed because something unexpected has just ruined everything. keeping passion at bay or surrendering blindly to it - which of these two attitudes is the least destructive? i don't know. ― paulo coelho, eleven minutes"," paulo coelho, eleven minutes", eleven minutes
"May your trails be crooked, winding, lonesome, dangerous, leading to the most amazing view. ― edward abbey", edward abbey,no book found
"Ideally, what should be said to every child, repeatedly, throughout his or her school life is something like this: 'you are in the process of being indoctrinated. we have not yet evolved a system of education that is not a system of indoctrination. we are sorry, but it is the best we can do. what you are being taught here is an amalgam of current prejudice and the choices of this particular culture. the slightest look at history will show how impermanent these must be. you are being taught by people who have been able to accommodate themselves to a regime of thought laid down by their predecessors. it is a self-perpetuating system. those of you who are more robust and individual than others will be encouraged to leave and find ways of educating yourself — educating your own judgements. those that stay must remember, always, and all the time, that they are being moulded and patterned to fit into the narrow and particular needs of this particular society. ― doris lessing, the golden notebook"," doris lessing, the golden notebook", the golden notebook
"You may tell a tale that takes up residence in someone's soul, becomes their blood and self and purpose. that tale will move them and drive them and who knows that they might do because of it, because of your words. that is your role, your gift. ― erin morgenstern, the night circus"," erin morgenstern, the night circus", the night circus
"The starting point of all achievement is desire. keep this constantly in mind. weak desire brings weak results, just as a small fire makes a small amount of heat. ― napoleon hill, think and grow rich"," napoleon hill, think and grow rich", think and grow rich
"I am going to take this bucket of water and pour it on the flames of hell, and then i am going to use this torch to burn down the gates of paradise so that people will not love god for want of heaven or fear of hell, but because he is god. ― john green, looking for alaska"," john green, looking for alaska", looking for alaska
"I think and think and think, i‘ve thought myself out of happiness one million times, but never once into it. ― jonathan safran foer", jonathan safran foer,no book found
You're something between a dream and a miracle. ― elizabeth barrett browning, elizabeth barrett browning,no book found
"Whenever you think or you believe or you know, you're a lot of other people: but the moment you feel, you're nobody-but-yourself. ― e.e. cummings", e.e. cummings,no book found
"Man, when you lose your laugh you lose your footing. ― ken kesey, one flew over the cuckoo's nest"," ken kesey, one flew over the cuckoo's nest", one flew over the cuckoo's nest
"If you want to be happy, be. ― tolstoy leo", tolstoy leo,no book found
"What is honor compared to a woman's love? what is duty against the feel of a newborn son in your arms . . . or the memory of a brother's smile? wind and words. wind and words. we are only human, and the gods have fashioned us for love. that is our great glory, and our great tragedy. ― george r.r. martin, a game of thrones"," george r.r. martin, a game of thrones", a game of thrones
"I had absolutely no interest in being somebody else's muse. i am not a muse. i am the somebody. end of fucking story. ― taylor jenkins reid, daisy jones & the six"," taylor jenkins reid, daisy jones & the six", daisy jones & the six
"I will love you always. when this red hair is white, i will still love you. when the smooth softness of youth is replaced by the delicate softness of age, i will still want to touch your skin. when your face is full of the lines of every smile you have ever smiled, of every surprise i have seen flash through your eyes, when every tear you have ever cried has left its mark upon your face,i will treasure you all the more, because i was there to see it all. i will share your life with you, meredith, and i will love you until the last breath leaves your body or mine. ― laurell k. hamilton, a lick of frost"," laurell k. hamilton, a lick of frost", a lick of frost
"I could die for you. but i couldn't, and wouldn't, live for you. ― ayn rand, the fountainhead"," ayn rand, the fountainhead", the fountainhead
"That's the thing about depression: a human being can survive almost anything, as long as she sees the end in sight. but depression is so insidious, and it compounds daily, that it's impossible to ever see the end. ― elizabeth wurtzel, prozac nation"," elizabeth wurtzel, prozac nation", prozac nation
"Things need not have happened to be true. tales and dreams are the shadow-truths that will endure when mere facts are dust and ashes, and forgot. ― neil gaiman, the sandman, vol. 3: dream country"," neil gaiman, the sandman, vol. 3: dream country", the sandman
Blessed are the hearts that can bend; they shall never be broken. ― albert camus, albert camus,no book found
"The ultimate measure of a man is not where he stands in moments of comfort and convenience, but where he stands at times of challenge and controversy. ― martin luther king jr.", martin luther king jr.,no book found
"Books have to be heavy because the whole world's inside them. ― cornelia funke, inkheart"," cornelia funke, inkheart", inkheart
Everything must be made as simple as possible. but not simpler. ― albert einstein, albert einstein,no book found
"The more one judges, the less one loves. ― honoré de balzac, physiologie du mariage: ou meditations de philosophie eclectique, sur le bonheur et le malheur conjugal"," honoré de balzac, physiologie du mariage: ou meditations de philosophie eclectique, sur le bonheur et le malheur conjugal", physiologie du mariage: ou meditations de philosophie eclectique
" loneliness is the human condition. cultivate it. the way it tunnels into you allows your soul room to grow. never expect to outgrow loneliness. never hope to find people who will understand you, someone to fill that space. an intelligent, sensitive person is the exception, the very great exception. if you expect to find people who will understand you, you will grow murderous with disappointment. the best you'll ever do is to understand yourself, know what it is that you want, and not let the cattle stand in your way. ― janet fitch, white oleander"," janet fitch, white oleander", white oleander
"I am only responsible for my own heart, you offered yours up for the smashing my darling. only a fool would give out such a vital organ ― anais nin", anais nin,no book found
"I hate to advocate drugs, alcohol, violence, or insanity to anyone, but they've always worked for me. ― hunter s. thompson", hunter s. thompson,no book found
Better to die fighting for freedom then be a prisoner all the days of your life. ― bob marley, bob marley,no book found
"You are not rich until you have a rich heart. ― roy t. bennett, the light in the heart"," roy t. bennett, the light in the heart", the light in the heart
"To love another person is to see the face of god. ― victor hugo, les misérables"," victor hugo, les misérables", les misérables
"When i saw you i fell in love, and you smiled because you knew. ― arrigo boito", arrigo boito,no book found
"I am lonely, yet not everybody will do. i don't know why, some people fill the gaps and others emphasize my loneliness. in reality those who satisfy me are those who simply allow me to live with my ''idea of them. ― anais nin", anais nin,no book found
Education: the path from cocky ignorance to miserable uncertainty. ― mark twain, mark twain,no book found
"I learned that courage was not the absence of fear, but the triumph over it. the brave man is not he who does not feel afraid, but he who conquers that fear. ― nelson mandela", nelson mandela,no book found
"So many people walk around with a meaningless life. they seem half-asleep, even when they're busy doing things they think are important. this is because they're chasing the wrong things. the way you get meaning into your life is to devote yourself to loving others, devote yourself to your community around you, and devote yourself to creating something that gives you purpose and meaning. ― mitch albom, tuesdays with morrie"," mitch albom, tuesdays with morrie", tuesdays with morrie
"It is one of life's bitterest truths that bedtime so often arrives just when things are really getting interesting. ― lemony snicket, the grim grotto"," lemony snicket, the grim grotto", the grim grotto
"Life is too short to waste any amount of time on wondering what other people think about you. in the first place, if they had better things going on in their lives, they wouldn't have the time to sit around and talk about you. what's important to me is not others' opinions of me, but what's important to me is my opinion of myself. ― c. joybell c.", c. joybell c.,no book found
One person's craziness is another person's reality. ― tim burton, tim burton,no book found
"Try to be a rainbow in someone's cloud. ― maya angelou, letter to my daughter"," maya angelou, letter to my daughter", letter to my daughter
If you're too open-minded; your brains will fall out. ― lawrence ferlinghetti, lawrence ferlinghetti,no book found
"In my younger and more vulnerable years my father gave me some advice that i've been turning over in my mind ever since. ""whenever you feel like criticizing any one,"" he told me, ""just remember that all the people in this world haven't had the advantages that you've had. ― f. scott fitzgerald, the great gatsby"," f. scott fitzgerald, the great gatsby", the great gatsby
"I fell in love with her when we were together, then fell deeper in love with her in the years we were apart. ― nicholas sparks, dear john"," nicholas sparks, dear john", dear john
Nothing great in the world was accomplished without passion. ― georg wilhelm friedrich hegel, georg wilhelm friedrich hegel,no book found
"When we don't know who to hate, we hate ourselves. ― chuck palahniuk, invisible monsters"," chuck palahniuk, invisible monsters", invisible monsters
"No matter how much suffering you went through, you never wanted to let go of those memories. ― haruki murakami", haruki murakami,no book found
"He's a wallflower. you see things. you keep quiet about them. and you understand. ― stephen chbosky, the perks of being a wallflower"," stephen chbosky, the perks of being a wallflower", the perks of being a wallflower
"After nourishment, shelter and companionship, stories are the thing we need most in the world. ― philip pullman", philip pullman,no book found
But in the end one needs more courage to live than to kill himself. ― albert camus, albert camus,no book found
I don't believe in the kind of magic in my books. but i do believe something very magical can happen when you read a good book. ― j.k. rowling, j.k. rowling,no book found
"I can listen no longer in silence. i must speak to you by such means as are within my reach. you pierce my soul. i am half agony, half hope. tell me not that i am too late, that such precious feelings are gone for ever. i offer myself to you again with a heart even more your own than when you almost broke it, eight years and a half ago. dare not say that man forgets sooner than woman, that his love has an earlier death. i have loved none but you. unjust i may have been, weak and resentful i have been, but never inconstant. you alone have brought me to bath. for you alone, i think and plan. have you not seen this? can you fail to have understood my wishes? i had not waited even these ten days, could i have read your feelings, as i think you must have penetrated mine. i can hardly write. i am every instant hearing something which overpowers me. you sink your voice, but i can distinguish the tones of that voice when they would be lost on others. too good, too excellent creature! you do us justice, indeed. you do believe that there is true attachment and constancy among men. believe it to be most fervent, most undeviating, in f. w. i must go, uncertain of my fate; but i shall return hither, or follow your party, as soon as possible. a word, a look, will be enough to decide whether i enter your father's house this evening or never. ― jane austen, persuasion"," jane austen, persuasion", persuasion
"It's just that...i just think that some things are meant to be broken. imperfect. chaotic. it's the universe's way of providing contrast, you know? there have to be a few holes in the road. it's how life is. ― sarah dessen, the truth about forever"," sarah dessen, the truth about forever", the truth about forever
History will be kind to me for i intend to write it. ― winston s. churchill, winston s. churchill,no book found
"لن تكون متدينا إلا بالعلم ...فالله لا يعبد بالجهل ― مصطفى محمود, القرآن: محاولة لفهم عصري"," مصطفى محمود, القرآن: محاولة لفهم عصري", القرآن: محاولة لفهم عصري
"Basically, i have two speeds.... hostile or smart-aleck. your choice. ― james patterson, saving the world and other extreme sports"," james patterson, saving the world and other extreme sports", saving the world and other extreme sports
"Don't."" clary raised a warning hand. ""i'm not really in the mood right now."" ""that's got to be the first time a girl's ever said that to me,"" jace mused. ― cassandra clare, city of bones"," cassandra clare, city of bones", city of bones
"If no one in the entire world cared about you, did you really exist at all? ― cassandra clare, clockwork angel"," cassandra clare, clockwork angel", clockwork angel
"Stories never really end...even if the books like to pretend they do. stories always go on. they don't end on the last page, any more than they begin on the first page. ― cornelia funke, inkspell"," cornelia funke, inkspell", inkspell
"Do you wish me a good morning, or mean that it is a good morning whether i want it or not; or that you feel good this morning; or that it is a morning to be good on? ― j.r.r. tolkien, the hobbit"," j.r.r. tolkien, the hobbit", the hobbit
"A book, too, can be a star, a living fire to lighten the darkness, leading out into the expanding universe. ― madeleine l'engle", madeleine l'engle,no book found
"The individual has always had to struggle to keep from being overwhelmed by the tribe. if you try it, you will be lonely often, and sometimes frightened. but no price is too high to pay for the privilege of owning yourself. ― friedrich nietzsche", friedrich nietzsche,no book found
"Everything can be taken from a man but one thing: the last of the human freedoms—to choose one’s attitude in any given set of circumstances, to choose one’s own way. ― viktor e. frankl, man’s search for meaning"," viktor e. frankl, man’s search for meaning", man’s search for meaning
"To burn with desire and keep quiet about it is the greatest punishment we can bring on ourselves. ― federico garcía lorca, blood wedding and yerma"," federico garcía lorca, blood wedding and yerma", blood wedding and yerma
"Well, now if little by little you stop loving me i shall stop loving you little by little if suddenly you forget me do not look for me for i shall already have forgotten you if you think it long and mad the wind of banners that passes through my life and you decide to leave me at the shore of the heart where i have roots remember that on that day, at that hour, i shall lift my arms and my roots will set off to seek another land ― pablo neruda, selected poems"," pablo neruda, selected poems", selected poems
"Life is to be enjoyed, not endured ― gordon b. hinckley", gordon b. hinckley,no book found
"The one thing that doesn't abide by majority rule is a person's conscience. ― harper lee, to kill a mockingbird"," harper lee, to kill a mockingbird", to kill a mockingbird
"All the world's a stage, and all the men and women merely players; they have their exits and their entrances; and one man in his time plays many parts, his acts being seven ages. ― william shakespeare, as you like it"," william shakespeare, as you like it", as you like it
"We have to allow ourselves to be loved by the people who really love us, the people who really matter. too much of the time, we are blinded by our own pursuits of people to love us, people that don't even matter, while all that time we waste and the people who do love us have to stand on the sidewalk and watch us beg in the streets! it's time to put an end to this. it's time for us to let ourselves be loved. ― c. joybell c.", c. joybell c.,no book found
"Hate the sin, love the sinner. ― mahatma gandhi", mahatma gandhi,no book found
Why are women... so much more interesting to men than men are to women? ― virginia woolf, virginia woolf,no book found
"It's not natural for women to fight."" ""it's not natural for someone to be as stupid as he is tall, and yet there you stand. ― leigh bardugo, six of crows"," leigh bardugo, six of crows", six of crows
Forever is composed of nows. ― emily dickinson, emily dickinson,no book found
"You're off to great places! today is your day! your mountain is waiting, so... get on your way! ― dr. seuss, oh, the places you’ll go!"," dr. seuss, oh, the places you’ll go!", oh
Great spirits have always encountered violent opposition from mediocre minds. ― albert einstein, albert einstein,no book found
I dream my painting and i paint my dream. ― vincent willem van gogh, vincent willem van gogh,no book found
"The feelings that hurt most, the emotions that sting most, are those that are absurd - the longing for impossible things, precisely because they are impossible; nostalgia for what never was; the desire for what could have been; regret over not being someone else; dissatisfaction with the world’s existence. all these half-tones of the soul’s consciousness create in us a painful landscape, an eternal sunset of what we are. ― fernando pessoa", fernando pessoa,no book found
"Be thankful for what you have; you'll end up having more. if you concentrate on what you don't have, you will never, ever have enough. ― oprah winfrey", oprah winfrey,no book found
"Every day is a new day. it is better to be lucky. but i would rather be exact. then when luck comes you are ready. ― ernest hemingway, the old man and the sea"," ernest hemingway, the old man and the sea", the old man and the sea
"A love like that was a serious illness, an illness from which you never entirely recover. ― charles bukowski, the people look like flowers at last"," charles bukowski, the people look like flowers at last", the people look like flowers at last
I'm killing time while i wait for life to shower me with meaning and happiness. ― bill watterson, bill watterson,no book found
"Either you deal with what is the reality, or you can be sure that the reality is going to deal with you. ― alex haley", alex haley,no book found
"The future is now. it's time to grow up and be strong. tomorrow may well be too late. ― neil labute, reasons to be pretty"," neil labute, reasons to be pretty", reasons to be pretty
"What is family? they were the people who claimed you. in good, in bad, in parts or in whole, they were the ones who showed up, who stayed in there, regardless. it wasn't just about blood relations or shared chromosomes, but something wider, bigger. we had many families over time. our family of origin, the family we created, and the groups you moved through while all of this was happening: friends, lovers, sometimes even strangers. none of them perfect, and we couldn't expect them to be. you can't make any one person your world. the trick was to take what each could give you and build your world from it. ― sarah dessen, lock and key"," sarah dessen, lock and key", lock and key
"The more i read, the more i acquire, the more certain i am that i know nothing. ― voltaire", voltaire,no book found
"If the real world were a book, it would never find a publisher. overlong, detailed to the point of distraction-and ultimately, without a major resolution. ― jasper fforde, something rotten"," jasper fforde, something rotten", something rotten
"If, then, i were asked for the most important advice i could give, that which i considered to be the most useful to the men of our century, i should simply say: in the name of god, stop a moment, cease your work, look around you. ― leo tolstoy, essays, letters and miscellanies"," leo tolstoy, essays, letters and miscellanies", essays
"Anybody can sympathise with the sufferings of a friend, but it requires a very fine nature to sympathise with a friend's success. ― oscar wilde", oscar wilde,no book found
"You should write because you love the shape of stories and sentences and the creation of different words on a page. writing comes from reading, and reading is the finest teacher of how to write. ― annie proulx", annie proulx,no book found
The future depends on what you do today. ― mahatma gandhi, mahatma gandhi,no book found
"You have to love something before you can hate it. ― nicholas sparks, the last song"," nicholas sparks, the last song", the last song
"When will you learn that there isn't a word for everything? ― nicole krauss, the history of love"," nicole krauss, the history of love", the history of love
"To put everything in balance is good, to put everything in harmony is better. ― victor hugo", victor hugo,no book found
"He died not for men, but for each man. if each man had been the only man made, he would have done no less. ― c.s. lewis", c.s. lewis,no book found
"You’re dangerous, he says. why? because you make me believe in the impossible ― simone elkeles, rules of attraction"," simone elkeles, rules of attraction", rules of attraction
Intelligence plus character-that is the goal of true education. ― martin luther king jr., martin luther king jr.,no book found
"And then i am going to rattle the stars. ― sarah j. maas, heir of fire"," sarah j. maas, heir of fire", heir of fire
"The trouble was, i had been inadequate all along, i simply hadn't thought about it. ― sylvia plath, the bell jar"," sylvia plath, the bell jar", the bell jar
"And then something invisible snapped insider her, and that which had come together commenced to fall apart. ― john green, looking for alaska"," john green, looking for alaska", looking for alaska
"When someone is in your heart, they're never truly gone. they can come back to you, even at unlikely times. ― mitch albom, for one more day"," mitch albom, for one more day", for one more day
"What a blessing it is to love books as i love them;- to be able to converse with the dead, and to live amidst the unreal! ― thomas babington macaulay, the selected letters of thomas babington macaulay"," thomas babington macaulay, the selected letters of thomas babington macaulay", the selected letters of thomas babington macaulay
"We sometimes encounter people, even perfect strangers, who begin to interest us at first sight, somehow suddenly, all at once, before a word has been spoken. ― fyodor dostoyevsky, crime and punishment"," fyodor dostoyevsky, crime and punishment", crime and punishment
"It's going to be all right, sir,"" harry said over and over again, more worried by dumbledore's silence than he had been by his weakened voice. ""we're nearly there ... i can apparate us both back ... don't worry ..."" ""i am not worried, harry,"" said dumbledore, his voice a little stronger despite the freezing water. ""i am with you. ― j.k. rowling, harry potter and the half-blood prince"," j.k. rowling, harry potter and the half-blood prince", harry potter and the half-blood prince
"It would seem that our lord finds our desires not too strong, but too weak. we are half-hearted creatures, fooling about with drink and sex and ambition when infinite joy is offered us, like an ignorant child who wants to go on making mud pies in a slum because he cannot imagine what is meant by the offer of a holiday at the sea. we are far too easily pleased. ― c.s. lewis, the weight of glory, and other addresses"," c.s. lewis, the weight of glory, and other addresses", the weight of glory
"You're the first shadowhunter i've ever met."" that’s too bad, said jace, since all the others you meet from now on will be a terrible letdown. ― cassandra clare, city of fallen angels"," cassandra clare, city of fallen angels", city of fallen angels
"Absence diminishes small loves and increases great ones, as the wind blows out the candle and fans the bonfire. ― francois duc de la rochefoucauld, maxims"," francois duc de la rochefoucauld, maxims", maxims
"You are imperfect, permanently and inevitably flawed. and you are beautiful. ― amy bloom", amy bloom,no book found
"Nobody ever figures out what life is all about, and it doesn't matter. explore the world. nearly everything is really interesting if you go into it deeply enough. ― richard p. feynman", richard p. feynman,no book found
Sanity and happiness are an impossible combination. ― mark twain, mark twain,no book found
"If you obey all of the rules, you miss all of the fun. ― katharine hepburn", katharine hepburn,no book found
Never close your lips to those whom you have already opened your heart. ― charles dickens, charles dickens,no book found
The reason it hurts so much to separate is because our souls are connected. ― nicholas sparks, nicholas sparks,no book found
"Reading is escape, and the opposite of escape; it's a way to make contact with reality after a day of making things up, and it's a way of making contact with someone else's imagination after a day that's all too real. ― nora ephron", nora ephron,no book found
"You can't be happy unless you're unhappy sometimes"". ― lauren oliver, delirium"," lauren oliver, delirium", delirium
"Just because you call an electric eel a rubber duck doesn't make it a rubber duck, does it? and god help the poor bastard who decides they want to take a bath with the duckie. (jace wayland) ― cassandra clare, city of bones"," cassandra clare, city of bones", city of bones
