,Author,Book
"Libraries were full of ideas—perhaps the most dangerous and powerful of all weapons. ― sarah j. maas, throne of glass"," sarah j. maas, throne of glass", throne of glass
"In a good bookroom you feel in some mysterious way that you are absorbing the wisdom contained in all the books through your skin, without even opening them. ― mark twain", mark twain,no book found
Man is the only creature who refuses to be what he is. ― albert camus, albert camus,no book found
"And once the storm is over, you won’t remember how you made it through, how you managed to survive. you won’t even be sure, whether the storm is really over. but one thing is certain. when you come out of the storm, you won’t be the same person who walked in. that’s what this storm’s all about. ― haruki murakami, kafka on the shore"," haruki murakami, kafka on the shore", kafka on the shore
"Promise yourself to be so strong that nothing can disturb your peace of mind. to talk health, happiness, and prosperity to every person you meet. to make all your friends feel that there is something in them to look at the sunny side of everything and make your optimism come true. to think only the best, to work only for the best, and to expect only the best. to be just as enthusiastic about the success of others as you are about your own. to forget the mistakes of the past and press on to the greater achievements of the future. to wear a cheerful countenance at all times and give every living creature you meet a smile. to give so much time to the improvement of yourself that you have no time to criticize others. to be too large for worry, too noble for anger, too strong for fear, and too happy to permit the presence of trouble. to think well of yourself and to proclaim this fact to the world, not in loud words but great deeds. to live in faith that the whole world is on your side so long as you are true to the best that is in you. ― christian d. larson, your forces and how to use them"," christian d. larson, your forces and how to use them", your forces and how to use them
"For attractive lips, speak words of kindness. for lovely eyes, seek out the good in people. for a slim figure, share your food with the hungry. for beautiful hair, let a child run his fingers through it once a day. for poise, walk with the knowledge you’ll never walk alone. ... we leave you a tradition with a future. the tender loving care of human beings will never become obsolete. people even more than things have to be restored, renewed, revived, reclaimed and redeemed and redeemed and redeemed. never throw out anybody. remember, if you ever need a helping hand, you’ll find one at the end of your arm. as you grow older, you will discover that you have two hands: one for helping yourself, the other for helping others. your good old days are still ahead of you, may you have many of them. ― sam levenson, in one era & out the other"," sam levenson, in one era & out the other", in one era & out the other
"If more of us valued food and cheer and song above hoarded gold, it would be a merrier world. ― j.r.r. tolkien", j.r.r. tolkien,no book found
"Don't think or judge, just listen. ― sarah dessen, just listen"," sarah dessen, just listen", just listen
"Grief does not change you, hazel. it reveals you. ― john green, the fault in our stars"," john green, the fault in our stars", the fault in our stars
"You cannot find peace by avoiding life. ― michael cunningham, the hours"," michael cunningham, the hours", the hours
"Happy hunger games! and may the odds be ever in your favor. ― suzanne collins, the hunger games"," suzanne collins, the hunger games", the hunger games
